id_venta,fecha,cliente,producto,categoria,cantidad,precio_unitario
1,2025-06-03T04:04:08,Sara Jacobs,now,Hogar,5,8.77
2,2025-02-23T05:00:49,Karen Wright,shake,Ropa,5,189.44
3,2025-03-12T09:33:42,Elizabeth Warner,little,Electrónica,2,52.83
4,2025-05-04T07:43:57,Emily Smith,that,Hogar,5,335.19
5,2025-01-17T00:05:13,David Wood,certainly,Hogar,1,160.1
6,2025-02-20T14:10:00,Mary Turner,myself,Libros,2,92.01
7,2025-05-23T17:05:45,Dawn Wilson,audience,Ropa,5,87.03
8,2025-08-22T07:04:12,Kyle Fischer,about,Hogar,4,450.33
9,2025-02-10T02:52:47,Andrew Douglas,college,Electrónica,4,203.28
10,2025-09-01T12:09:53,Frederick Byrd,bag,Libros,5,152.23
11,2025-02-22T05:24:02,David Clark,modern,Hogar,5,215.5
12,2025-05-23T01:33:52,Steven Pope,individual,Ropa,5,285.32
13,2025-08-06T01:02:41,Jenna Robinson,both,Ropa,3,439.75
14,2025-04-28T08:26:11,Robert Morrison,just,Electrónica,5,454.59
15,2025-08-22T13:38:33,Michael Kim,pretty,Hogar,4,195.57
16,2025-02-23T08:03:46,Dr. Jessica Golden,phone,Libros,1,489.14
17,2025-03-24T04:47:57,Richard Perez,mind,Libros,4,260.22
18,2025-07-08T23:45:57,Jacob Dudley,get,Libros,1,263.92
19,2025-03-18T08:23:36,Erin Richardson,information,Electrónica,1,91.93
20,2025-05-01T02:59:19,Kathryn Jones,summer,Hogar,4,58.93
21,2025-08-30T04:16:14,Jason Lee,gas,Libros,1,164.63
22,2025-02-28T19:55:00,Barbara Odom,coach,Hogar,1,55.14
23,2025-08-07T00:37:58,Caitlin Johnson,organization,Hogar,1,109.47
24,2025-04-23T23:47:36,Kenneth Browning,police,Hogar,2,88.05
25,2025-07-06T02:25:03,Mark Khan,brother,Ropa,4,7.57
26,2025-02-27T02:03:09,Katie Ballard,any,Libros,2,423.04
27,2025-04-03T17:00:12,Terry Nelson,only,Electrónica,3,268.88
28,2025-08-12T13:59:10,Jessica Vargas,face,Hogar,3,251.57
29,2025-03-26T03:34:53,Teresa Brown,music,Hogar,3,236.07
30,2025-04-30T09:30:38,Taylor Boyer,student,Libros,2,285.08
31,2025-03-06T15:43:07,Kathy Garcia,candidate,Libros,2,331.08
32,2025-06-01T13:49:28,Martha Kramer,laugh,Hogar,1,388.38
33,2025-08-27T20:07:35,Austin Aguilar,base,Hogar,2,455.98
34,2025-03-13T02:17:37,Jeff Flores,Democrat,Ropa,2,427.42
35,2025-06-03T10:54:31,Melody Ayers,summer,Ropa,1,239.85
36,2025-07-14T08:17:43,Xavier Jones MD,should,Ropa,5,71.92
37,2025-06-24T01:56:41,Raymond Garrett,he,Hogar,5,129.23
38,2025-05-20T07:19:39,Charles Deleon DVM,memory,Ropa,2,15.01
